observed_at,source,origin,destination,departure_date,advance_days,airline,flight_number,cabin_class,base_fare,taxes_fees,total_fare
2026-08-29 16:18:22,Google_Flights_Aggregator,DEL,BOM,2026-08-30,1,Air India,AI-Quote,Economy,4670.16,636.84,5307.0
2026-08-29 16:18:22,Google_Flights_Aggregator,DEL,BOM,2026-08-30,1,Air India Express,AI-Quote,Economy,5287.04,720.96,6008.0
2026-08-29 16:18:24,Google_Flights_Aggregator,DEL,BOM,2026-09-05,7,IndiGo,6E-Quote,Economy,7436.88,1014.12,8451.0
2026-08-29 16:18:24,Google_Flights_Aggregator,DEL,BOM,2026-09-05,7,Air India,AI-Quote,Economy,7920.88,1080.12,9001.0
2026-08-29 16:18:24,Google_Flights_Aggregator,DEL,BOM,2026-09-05,7,Akasa Air,QP-Quote,Economy,8096.88,1104.12,9201.0
2026-08-29 16:18:46,Google_Flights_Aggregator,DEL,BOM,2026-09-13,15,IndiGo,6E-Quote,Economy,3657.28,498.72,4156.0
2026-08-29 16:18:46,Google_Flights_Aggregator,DEL,BOM,2026-09-13,15,Air India,AI-Quote,Economy,3789.28,516.72,4306.0
2026-08-29 16:18:49,Google_Flights_Aggregator,DEL,BOM,2026-09-28,30,IndiGo,6E-Quote,Economy,1056.0,144.0,1200.0
2026-08-29 16:18:49,Google_Flights_Aggregator,DEL,BOM,2026-09-28,30,Akasa Air,QP-Quote,Economy,8096.88,1104.12,9201.0
2026-08-29 16:19:01,Google_Flights_Aggregator,DEL,BOM,2026-10-13,45,IndiGo,6E-Quote,Economy,7436.88,1014.12,8451.0
2026-08-29 16:19:01,Google_Flights_Aggregator,DEL,BOM,2026-10-13,45,Air India,AI-Quote,Economy,7920.88,1080.12,9001.0
2026-08-29 16:19:01,Google_Flights_Aggregator,DEL,BOM,2026-10-13,45,Akasa Air,QP-Quote,Economy,7392.88,1008.12,8401.0
2026-08-29 16:19:09,Google_Flights_Aggregator,BOM,DEL,2026-08-30,1,IndiGo,6E-Quote,Economy,1763.52,240.48,2004.0
2026-08-29 16:19:09,Google_Flights_Aggregator,BOM,DEL,2026-08-30,1,IndiGo,6E-Quote,Economy,6563.92,895.08,7459.0
2026-08-29 16:19:18,Google_Flights_Aggregator,BOM,DEL,2026-09-05,7,IndiGo,6E-Quote,Economy,7920.88,1080.12,9001.0
2026-08-29 16:19:18,Google_Flights_Aggregator,BOM,DEL,2026-09-05,7,Air India,AI-Quote,Economy,8184.88,1116.12,9301.0
2026-08-29 16:19:18,Google_Flights_Aggregator,BOM,DEL,2026-09-05,7,Akasa Air,QP-Quote,Economy,4626.16,630.84,5257.0
2026-08-29 16:19:25,Google_Flights_Aggregator,BOM,DEL,2026-09-13,15,Air India Express,AI-Quote,Economy,7524.88,1026.12,8551.0
2026-08-29 16:19:32,Google_Flights_Aggregator,BOM,DEL,2026-09-28,30,IndiGo,6E-Quote,Economy,1069.2,145.8,1215.0
