Airline,Flight_No,Route,Date,Total_Fare,Fair_Benchmark,Surge_Multiple
Air India,AI-944,DEL-BOM,2026-09-04,20657.0,6742.5,3.06
SpiceJet,SG-363,DEL-BOM,2026-09-18,22551.0,6742.5,3.34
Air India,AI-648,DEL-BOM,2026-09-11,16583.0,6742.5,2.46
Air India,AI-722,DEL-BOM,2026-09-11,17198.0,6742.5,2.55
Air India,AI-796,DEL-BOM,2026-09-11,21629.0,6742.5,3.21
Air India,AI-533,BOM-BLR,2026-09-11,19076.0,7374.0,2.59
Air India,AI-607,BOM-BLR,2026-09-11,19433.0,7374.0,2.64
Air India,AI-681,BOM-BLR,2026-09-11,19790.0,7374.0,2.68
IndiGo,6E-755,BOM-BLR,2026-09-11,19911.0,7374.0,2.7
IndiGo,6E-829,BOM-BLR,2026-09-11,19911.0,7374.0,2.7
IndiGo,6E-903,BOM-BLR,2026-09-11,19911.0,7374.0,2.7
IndiGo,6E-977,BOM-BLR,2026-09-11,19911.0,7374.0,2.7
Air India,AI-152,BOM-BLR,2026-09-11,19969.0,7374.0,2.71
Air India,AI-226,BOM-BLR,2026-09-11,20147.0,7374.0,2.73
Akasa Air,QP-300,BOM-BLR,2026-09-11,21467.0,7374.0,2.91
Akasa Air,QP-374,BOM-BLR,2026-09-11,22990.0,7374.0,3.12
Akasa Air,QP-448,BOM-BLR,2026-09-11,22990.0,7374.0,3.12
Akasa Air,QP-522,BOM-BLR,2026-09-11,26387.0,7374.0,3.58
Air India,AI-596,BOM-BLR,2026-09-11,26746.0,7374.0,3.63
Air India,AI-522,DEL-CCU,2026-10-18,18279.0,8766.0,2.09
Air India,AI-596,DEL-CCU,2026-10-18,18279.0,8766.0,2.09
Air India,AI-670,DEL-CCU,2026-10-18,18279.0,8766.0,2.09
Air India,AI-744,DEL-CCU,2026-10-18,18279.0,8766.0,2.09
Air India Express,IX-248,BLR-HYD,2026-09-04,12062.0,5756.0,2.1
Air India Express,IX-237,BLR-HYD,2026-09-04,12062.0,5756.0,2.1
IndiGo,6E-311,BLR-HYD,2026-09-04,13641.0,5756.0,2.37
IndiGo,6E-385,BLR-HYD,2026-09-04,13641.0,5756.0,2.37
Air India Express,IX-459,BLR-HYD,2026-09-04,13890.0,5756.0,2.41
IndiGo,6E-533,BLR-HYD,2026-09-04,14935.0,5756.0,2.59
IndiGo,6E-607,BLR-HYD,2026-09-04,14935.0,5756.0,2.59
IndiGo,6E-681,BLR-HYD,2026-09-04,14935.0,5756.0,2.59
IndiGo,6E-755,BLR-HYD,2026-09-04,16363.0,5756.0,2.84
IndiGo,6E-829,BLR-HYD,2026-09-04,17939.0,5756.0,3.12
IndiGo,6E-903,BLR-HYD,2026-09-04,17939.0,5756.0,3.12
IndiGo,6E-977,BLR-HYD,2026-09-04,17939.0,5756.0,3.12
IndiGo,6E-829,BLR-HYD,2026-09-10,12468.0,5756.0,2.17
IndiGo,6E-903,BLR-HYD,2026-09-10,12468.0,5756.0,2.17
IndiGo,6E-977,BLR-HYD,2026-09-10,13641.0,5756.0,2.37
Air India Express,IX-914,BLR-HYD,2026-09-11,12062.0,5756.0,2.1
IndiGo,6E-988,BLR-HYD,2026-09-11,13641.0,5756.0,2.37
IndiGo,6E-163,BLR-HYD,2026-09-11,13641.0,5756.0,2.37
IndiGo,6E-237,BLR-HYD,2026-09-11,13641.0,5756.0,2.37
Air India Express,IX-311,BLR-HYD,2026-09-11,13890.0,5756.0,2.41
IndiGo,6E-385,BLR-HYD,2026-09-11,17939.0,5756.0,3.12
Air India,AI-163,MAA-DEL,2026-09-05,20636.0,10227.0,2.02
Air India,AI-237,MAA-DEL,2026-09-05,30632.0,10227.0,3.0
Air India,AI-459,MAA-DEL,2026-09-11,20636.0,10227.0,2.02
Air India,AI-533,MAA-DEL,2026-09-11,20636.0,10227.0,2.02
Air India,AI-237,DEL-PAT,2026-09-04,16432.0,6478.0,2.54
