route,mean,min,max,base_price,route_index,weight
BLR-BOM,3114.8888888888887,1002,6208,3600,86.52469135802468,0.1
BLR-DEL,3147.5555555555557,1130,5208,4800,65.57407407407408,0.15
BOM-BLR,2489.0,1103,4306,3600,69.1388888888889,0.1
BOM-DEL,3464.4444444444443,1020,9301,4200,82.48677248677248,0.2
BOM-GOI,3560.222222222222,1010,7258,3800,93.69005847953217,0.05
CCU-DEL,2945.1111111111113,1015,9051,4500,65.44691358024691,0.08
DEL-AMD,3428.8888888888887,1000,9301,3200,107.15277777777776,0.05
DEL-BLR,4389.0,2305,8551,4800,91.4375,0.15
DEL-BOM,7626.333333333333,5007,9301,4200,181.57936507936506,0.2
DEL-CCU,6326.666666666667,4006,8101,4500,140.5925925925926,0.08
DEL-GOI,5056.444444444444,1015,8001,5200,97.23931623931624,0.05
DEL-HYD,3388.6666666666665,1145,8401,4100,82.65040650406503,0.07
DEL-PNQ,2464.5555555555557,1003,6158,4300,57.31524547803618,0.05
HYD-DEL,3998.8888888888887,1003,9401,4100,97.53387533875339,0.07
